X,Y,id,osm_id,z_order,building,building:levels,height,name,name:en,craft,office,leisure,shop,addr:housenumber,addr:housename,addr:street,addr:city,addr:state,addr:postcode,addr:place,addr:country,addr:hamlet,addr:suburb,addr:subdistrict,addr:district,addr:province,addr:interpolation,website,contact:website,phone,contact:phone,opening_hours,brand,construction,tower:type,disused
,,70136228,207277409,0,church,,,University Lutheran Chapel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,70223984,207507183,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,70223985,207507184,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,70223990,207507189,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,71546487,210147267,0,yes,,,Chi Omega,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,71605717,210256190,0,yes,3,,Sigma Phi Epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74699632,215333056,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74699633,215333058,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74699635,215333060,0,apartments,3,,The Block,,,,,,1005,,14th Street,,,,,,,,,,,,,,,,,,,,
,,74700070,215335316,0,yes,,,The Ritz,,,,,,1020,,13th Street,,,,,,,,,,,,,,,,,,,,
,,74754217,215499737,0,apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74813626,215665688,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74813629,215665693,0,apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74813630,215665694,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74813632,215665691,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814186,215667585,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814187,215667587,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814191,215667592,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814194,215667593,0,house,,,,,,,,,2695,,Colorado Avenue,Boulder,,80302,,,,,,,,,,,,,,,,,
,,74814195,215667595,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814196,215667596,0,yes,,,Hillel,,,,,,2795,,Colorado Avenue,Boulder,,80302,,,,,,,,,http://www.hillelcolorado.org/our-campuses/university-of-colorado/,,,,,,,,
,,74814201,215667601,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814202,215667602,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814206,215667607,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74845474,215705006,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74845477,215705008,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74845480,215705011,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74846234,215705864,0,yes,2,,,,,,,,1020,,14th Street,,,,,,,,,,,,,,,,,,,,
,,74846239,215705867,0,yes,,,International English Center,,,,,,1004,,14th Street,,,,,,,,,,,,,,,,,,,,
,,99337819,264685453,0,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,39760741,136249436,0,yes,4,,Koelbel Building/Leeds School of Business,,,,,,995,,Regent Drive,Boulder,,,,,,,,,,,,,,,,,,,
,,53896053,168647687,0,university,,,Wolf Law,,,,,,2450,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
,,70112367,207202686,0,office,2,,University Admin Center Annex,,,educational_institution,,,924,,Broadway,Boulder,,,,,,,,,,,,,,,,,,,
,,70223991,207507191,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,70223992,207507190,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814207,215667608,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,75497177,216703114,0,yes,1,,Folsom Bike Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,151972012,359421635,0,yes,,,grounds and recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814197,215667597,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74699629,215333053,0,yes,,,ΣΑΕ,,,,,,1045,,14th Street,,,,,,,,,,,,,,,,,,,,
,,3344664,46146360,0,university,,,Macky Auditorium,,,,,,1595,,Pleasant Street,Boulder,,,,,,,,,,,,,,,,,,,
,,3351177,46195447,0,university,2,,Gates Woodruff Womens Studies Cottage,,,,,,1160,,Broadway,Boulder,,,,,,,,,,,,,,,,,,,
,,3352202,46217915,0,yes,5,,University Memorial Center,,,,,,1669,,Euclid Avenue,Boulder,,,,,,,,,,,,,,,,,,,
,,3362471,46371891,0,university,,,Laboratory for Atmospheric and Space Physics,,,,,,1950,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
,,3362480,46371936,0,university,,,Imig Music,,,,,,1020,,18th Street,Boulder,,,,,,,,,,,,,,,,,,,
,,3362481,46371963,0,yes,,,Dal Ward Athletic Center,,,,sports_centre,,2100,,Stadium Drive,Boulder,,,,,,,,,,,,,,,,,,,
,,3368307,46493421,0,university,,,Benson Earth Sciences,,,,,,2200,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
,,26612076,103498258,0,yes,,,,,,,,,1044,,13th Street,,,,,,,,,,,,,,,,,,,,
,,26612078,103498259,0,yes,,,,,,,,,1305,,13th Street,,,,,,,,,,,,,,,,,,,,
,,74699631,215333057,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74699634,215333059,0,yes,2,,ΑΣΦ,Alpha Sigma Phi,,,,,1019,,14th Street,Boulder,,,,,,,,,,,,,,,,,,,
,,74700074,215335321,0,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814203,215667603,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74845476,215705007,0,yes,,,Alpha Phi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74846241,215705868,0,yes,2,,Cedar House,,,,,,1004,,14th Street,,,,,,,,,,,,,,,,,,,,
,,252267392,533314913,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3446663,46938881,0,dormitory,3,,Arnett Hall,,,,,,2590,,Kittredge Loop Drive,Boulder,CO,80310,,,,,,,,,,,,,,,,,
,,3446672,46938905,0,university,,,Fleming Law,,,,,,2445,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
,,3446673,46938908,0,dormitory,4,,Kittredge West Hall,,,,,,2400,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
,,99337459,264683964,0,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,53316452,167319412,0,retail,2,,Walgreens,,,,,,1111,,Broadway,Boulder,CO,80302,,,,,,,,,,,,,,,,,
,,69301468,205305291,0,university,,,Cooperative Institute for Research in Environmental Sciences Building,,,,,,1665,,Central Campus Mall,Boulder,,,,,,,,,,,,,,,,,,,
,,69910792,206682699,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45648430,149825386,0,yes,,,The Learning Center,,,educational_institution,,,1045,,18th Street,Boulder,,,,,,,,,,,,,,,,,,,
,,69910794,206682700,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814193,215667590,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3351480,46200736,0,university,3,,Hellems Arts and Sciences,,,,,,1550,,Central Campus Mall,Boulder,,,,,,,,,,,,,,,,,,,
,,3352201,46217914,0,university,,,Ekeley Sciences Building,,,,,,1601,,Central Campus Mall,Boulder,,,,,,,,,,,,,,,,,,,
,,3357563,46275951,0,yes,,,Student Recreation Center,,,,sports_centre,,1855,,Pleasant Street,Boulder,,,,,,,,,,,,,,,,,,,
,,3362475,46371932,0,yes,,,Wardenburg Health Center,,,,,,1900,,Wardenburg Drive,Boulder,,,,,,,,,,,,,,,,,,,
,,3362482,46371958,0,university,3,,Environmental Design,,,,,,1060,,18th Street,Boulder,CO,,,,,,,,,,,,,,,,,,
,,3446667,46938897,0,dormitory,,,Buckingham Hall,,,,,,2605,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
,,74814190,215667589,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74814188,215667586,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,252267405,533314908,0,roof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,276490210,46195525,0,university,3,,Department of Economics,,,,,,1445,,Central Campus Mall,Boulder,,,,,,,,,,,,,,,,,,,
,,278518818,-2735662,0,dormitory,,,Sewall Hall,,,,,,1720,,University Avenue,Boulder,,,,,,,,,,,,,,,,,,,
,,203706859,454756618,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,251083721,531560860,0,yes,,,Byron R. White Touchdown Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17062305,81175983,0,yes,5,,Center for Community,,,educational_institution,,,2249,,Willard Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
,,64356833,194217265,0,roof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,75430111,216535335,0,dormitory,,,Smith Hall,,,,,,2525,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
,,74699628,215333052,0,yes,2,,,,,,,,1059,,14th Street,,,,,,,,,,,,,,,,,,,,
,,74699630,215333054,0,yes,2,,,,,,,,1033,,14th Street,,,,,,,,,,,,,,,,,,,,
,,74700072,215335318,0,yes,,,,,,,,,1060,,14th Street,,,,,,,,,,,,,,,,,,,,
,,74845486,215705015,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74846236,215705863,0,yes,,,,,,,,,1036,,14th Street,,,,,,,,,,,,,,,,,,,,
,,74846237,215705865,0,yes,,,,,,,,,1016,,14th Street,,,,,,,,,,,,,,,,,,,,
,,118157672,293930527,0,university,4,,CU Art Museum,,,,,,1085,,18th Street,Boulder,,,,,,,,,,,,,,,,,,,
,,276490049,205305292,0,university,,,Cristol Chemistry and Biochemistry,,,,,,1606,,Central Campus Mall,Boulder,CO,80309,,,,,,,,,,,,,,,,,
,,265913616,205668774,0,university,2,,Classroom Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,276735062,103498256,0,yes,,,,,,,,,1080,,13th Street,,,,,,,,,,,,,,,,,,,,
,,276735468,377378269,0,commercial,,,Champions Center,,,,,,2150,,Stadium Drive,,,,,,,,,,,,,,,,,,,,
,,68532317,203657375,0,university,,,Eaton Humanities,,,,,,1610,,Pleasant Street,Boulder,,,,,,,,,,,,,,,,,,,
,,69910793,206682697,0,house,,,Lesser House,,,,,,2501,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
,,69910802,206682695,0,shed,,,Baker Hall Ancillary Building,,,,,,2005,,Baker Drive,Boulder,,,,,,,,,,,,,,,,,,,
,,70223989,207507187,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74700071,215335317,0,yes,,,Chi Psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74813628,215665692,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74813631,215665695,0,church,1,,St Aidan's Episcopal Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26612071,103498253,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45648392,149825017,0,university,,,ATLAS Center,,,,,,1125,,18th Street,Boulder,,,,,,,,,,,,,,,,,,,
,,899438,28775541,0,dormitory,,,Brackett Hall,,,,,,2350,,Libby Drive,Boulder,,,,,,,,,,,,,,,,,,,
,,903745,28827063,0,dormitory,4,,Hallet Hall,,,,,,2250,,Willard Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
,,903748,28827210,0,dormitory,4,,Cheyenne Arapaho Hall,,,,,,960,,Green Mountain Street,Boulder,,,,,,,,,,,,,,,,,,,
,,903749,28827229,0,office,3,,Regent Administrative Building,,,educational_institution,,,2055,,Regent Drive,Boulder,,,,,,,,,,,,,,,,,,,
